"What natural remedies work best for headaches?","AskQuestions_headaches_generalheadache_treatment_alternative"
"What causes a caffeine headache?","AskQuestions_headaches_generalheadache_trigger_diet"
"Does depression lead to headache?","AskQuestions_headaches_generalheadache_trigger_emotionsandmentalhealth"
"Can wifi be a trigger for headaches?","AskQuestions_headaches_generalheadache_trigger_mobilesandwifi"
"What is the causes of headaches?","AskQuestions_headaches_generalheadache_description"
"Why does the head get pain so much more frequently than else where in the body?","AskQuestions_headaches_generalheadache_description"
"My parents were agruing and I got a headache - could this be the trigger?","AskQuestions_headaches_generalheadache_trigger_emotionsandmentalhealth"
"What is the cause of headaches in response to rapidly changing weather?","AskQuestions_headaches_generalheadache_trigger_environment"
"What is the science behind why people get headaches?","AskQuestions_headaches_generalheadache_description"
"Why would you get headaches after your have a nap?","AskQuestions_headaches_generalheadache_trigger_sleep"
"Why do I get pain in my head after I eat tyrosine?","AskQuestions_headaches_generalheadache_trigger_diet"
"Why does oversleeping cause headaches?","AskQuestions_headaches_generalheadache_trigger_sleep"
"Can medicines cure migraines?","AskQuestions_headaches_migraine_treatment_traditional"
"Why would some sunnies cause headaches?","AskQuestions_headaches_generalheadache_trigger_eyecare"
"What headache cures work?","AskQuestions_headaches_generalheadache_treatment_traditional"
"My kid hit his head and now has a headache and fever. Should he see a doctor?","AskQuestions_headaches_children"
"What could be the reason I have been increasingly fatigued with headaches?","AskQuestions_headaches_generalheadache_description"
"What would you recommend for my girlfriend who has headaches and is feeling super tired all the time?","AskQuestions_headaches_generalheadache_trigger_cold&flu"
"Why does my brain hurt when I'm learning to play the cello?","AskQuestions_headaches_tensionheadache_description"
"I have awful pain in my head, it hurts to look around and I have pain all over and a terrible cough.","AskQuestions_headaches_meningitis_description"
"How can I deal with tablet-uncontrollable headaches?","AskQuestions_headaches_generalheadache_treatment_traditional"
"I've been feeling lousy for the past 3 days with diarrhora, headches and chills with sweats.","AskQuestions_headaches_generalheadache_trigger_diarrhoeaandvomiting"
"What is responsible for pain when we get headaches?","AskQuestions_headaches_generalheadache_description"
"Does masturbation help with headaches?","AskQuestions_headaches_generalheadache_trigger_sex"
"I have been diagnosed with migraines, what can I do to cure them?","AskQuestions_headaches_migraine_description"
"What is causing lots of bad headaches?","AskQuestions_headaches_generalheadache_description"
"What is the optimal way to cure a bad headache?","AskQuestions_headaches_generalheadache_treatment_traditional"
"I am in my mid-twenties, and when I stand up, around a quarter of an hour later I get a shooting headache and numbness for the past 4 days.","AskQuestions_headaches_dangerousheadache_description"
"Why do I get headaches after I have really pushed myself at the gym?","AskQuestions_headaches_generalheadache_trigger_exercise"
"What causes daily headaches?","AskQuestions_headaches_newdailypersistentheadache_description"
"My mother has had a few day's history of sickness, headaches and dizziness on a background of surviving breast cancer 5 years ago with chemotherapy and sugery. Should she be worried?","AskQuestions_headaches_generalheadache_trigger_medications"
"What treatments can help with weather-related headaches?","AskQuestions_headaches_generalheadache_treatment_traditional"
"Why do we have headaches when we are ill?","AskQuestions_headaches_generalheadache_description"
"What is the sensation of a cluster headache?","AskQuestions_headaches_clusterheadache_description"
"What would cause bad headachest every day?","AskQuestions_headaches_newdailypersistentheadache_description"
"What happens during 'brainfreeze' after consuming large amounts of slurpee?","AskQuestions_headaches_generalheadache_trigger_icecream"
"Which headaches are migraines?","AskQuestions_headaches_migraine_description"
"How can the reasons for my migraines be spotted?","AskQuestions_headaches_migraine_description"
"I suffer from blocked sinus, nausea, fatigue, sickness and headaches.","AskQuestions_headaches_sinusheadache_description"
"I had a breakup and have been thinking a lot. Now I have been suffering from mild headache for the last couple of weeks. I also lost much hair. I am not interested in love and feelings any more. I only care about my head and hair. What could be the cause? What shall I do?","AskQuestions_headaches_tensionheadache_trigger_emotionsandmentalhealth"
"For the last day I have been suffering from aches and stomach pain, bloating, diarrhoea and vomiting, headaches and chills. What could this be?","AskQuestions_headaches_generalheadache_trigger_diarrhoeaandvomiting"
"Is skunk a good management plan for migraines?","AskQuestions_headaches_generalheadache_trigger_illegaldrugs"
"Is it true that chai tea is a cure for headaches?","AskQuestions_headaches_generalheadache_treatment_alternative"
"Why does the wind not trigger my migraines?","AskQuestions_headaches_migraine_trigger_environment"
"Why is it that I get a headache when I try to sleep flat on my back inside a moving van, but not while seated (on the same middle row seat?","AskQuestions_headaches_travelheadache_description"
"How can massage help my headache?","AskQuestions_headaches_generalheadache_treatment_massage&yoga"
"What process is responsible for buccal swelling causing headache or pain in the frontal region of the head?","AskQuestions_headaches_sinusheadache_description"
"Why do I get caffine headaches?","AskQuestions_headaches_generalheadache_trigger_diet"
"What could be wrong and how can I treat my headaches, nausea and muscle pain so bad that I can't get up?","AskQuestions_headaches_generalheadache_trigger_cold&flu"
"Why does playing FPS gives one nausea and headaches?","AskQuestions_headaches_generalheadache_trigger_eyecare"
"Can sleeping with wet hair really cause headaches?","AskQuestions_headaches_generalheadache_trigger_haircare"
"What can I do for a headache which has not improved in 24 hours?","AskQuestions_headaches_generalheadache_treatment_traditional"
"I get bad pain in my head for overthinking things. Can you tell me what it means?","AskQuestions_headaches_tensionheadache_trigger_emotionsandmentalhealth"
"How can I get immediate relief from sinus related headache?","AskQuestions_headaches_sinusheadache_treatment_traditional"
"Could my parents arguing give a me a headache?","AskQuestions_headaches_generalheadache_trigger_emotionsandmentalhealth"
"Head pain","AskQuestions_headaches_generalheadache_description"
"Medication isn't helping me with my headaches which make feel dizzy and exhausted despite getting good amounts of sleep.","AskQuestions_headaches_generalheadache_trigger_otherdiseases"
"What is causing me to get more migraines?","AskQuestions_headaches_migraine_description"
